time (s)	det(V)
1577.063582	-1.741583	
1577.065079	-1.756544	
1577.066676	-1.794547	
1577.068174	-1.840510	
1577.069738	-1.851290	
1577.071275	-1.839415	
1577.072825	-1.854033	
1577.074323	-1.855016	
1577.075837	-1.855222	
1577.077421	-1.855480	
1577.078913	-1.855439	
1577.080475	-1.855516	
1577.082007	-1.855613	
1577.083592	-1.855669	
1577.085087	-1.855665	
1577.086633	-1.855677	
1577.088163	-1.855878	
1577.089720	-1.855516	
1577.091236	-1.855814	
1577.092763	-1.855661	
1577.094345	-1.855697	
1577.095835	-1.855818	
1577.097434	-1.855818	
1577.098963	-1.855782	
1577.100554	-1.855842	
1577.102053	-1.855911	
1577.103611	-1.855834	
1577.105134	-1.855709	
1577.106693	-1.855737	
1577.108217	-1.855907	
1577.109743	-1.855826	
1577.111313	-1.855858	
1577.112827	-1.855846	
1577.114384	-1.855786	
1577.115890	-1.855846	
1577.117485	-1.855858	
1577.118975	-1.855931	
1577.120535	-1.855790	
1577.122049	-1.855838	
1577.123618	-1.855758	
1577.125146	-1.855939	
1577.126676	-1.855870	
1577.128231	-1.855915	
1577.129744	-1.855758	
1577.131295	-1.855866	
1577.132830	-1.855862	
1577.134411	-1.855766	
1577.135909	-1.855903	
1577.137454	-1.855854	
1577.138988	-1.855907	
1577.140553	-1.855887	
1577.142077	-1.855935	
1577.143618	-1.855931	
1577.145168	-1.855891	
1577.146701	-1.855749	
1577.148248	-1.855927	
1577.149759	-1.855854	
1577.151326	-1.855842	
1577.152821	-1.855919	
1577.154389	-1.855907	
1577.155918	-1.855915	
1577.157460	-1.855903	
1577.158992	-1.855919	
1577.160518	-1.855870	
1577.162086	-1.855891	
1577.163600	-1.855903	
1577.165164	-1.855919	
1577.166697	-1.855862	
1577.168264	-1.855878	
1577.169758	-1.856007	
1577.171445	-1.855935	
1577.173053	-1.855911	
1577.174663	-1.855645	
1577.176297	-1.855846	
1577.177912	-1.855826	
1577.179588	-1.855802	
1577.181183	-1.855931	
1577.182814	-1.855891	
1577.184397	-1.855725	
1577.186078	-1.855882	
1577.187629	-1.855790	
1577.189320	-1.855935	
1577.190871	-1.855798	
1577.192564	-1.855935	
1577.194098	-1.855818	
1577.195828	-1.855822	
1577.197344	-1.855935	
1577.199107	-1.855834	
1577.200582	-1.855822	
1577.202377	-1.855923	
1577.203861	-1.855846	
1577.205632	-1.855919	
1577.207113	-1.855907	
1577.208859	-1.855919	
1577.210361	-1.855850	
1577.212123	-1.855911	
1577.213627	-1.855822	
1577.215389	-1.855677	
