crossing time (s)	slope (V/s)	crossing number
2117.521648	62.392611	2770
2118.554561	55.956429	2771
2119.603080	50.792480	2772
2120.647197	44.312911	2773
2121.658219	37.387780	2774
2122.661262	34.914525	2775
2123.700241	31.517679	2776
2124.699934	29.728119	2777
2125.770163	25.364373	2778
2126.793855	23.312683	2779
2127.787892	22.063169	2780
2128.891382	12.345723	2781
2129.868988	15.225634	2782
2130.873679	12.263227	2783
2131.888357	13.386984	2784
2132.424518	-6.169365	2785
2132.936014	10.993447	2786
2133.944496	8.454874	2787
2135.001163	8.717313	2788
2135.988720	7.642746	2789
2137.024632	9.414966	2790
2137.491739	-4.994530	2791
2138.067048	1.766243	2792
2139.024852	5.465188	2793
2140.051298	6.511178	2794
2141.148103	4.656172	2795
2142.159726	5.679060	2796
2142.670782	-8.277310	2797
2143.151687	5.348884	2798
2144.177637	1.782824	2799
2145.213869	2.016252	2800
