time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3771.299705	152.225388	0.806799	-0.008171	77
3773.347333	152.272232	0.762144	-0.008215	79
3774.842366	235.634705	0.009321	-0.100000	81
3776.407224	332.148132	0.699640	-0.008059	83
3778.454161	332.185516	0.659125	-0.007677	85
3780.502871	332.248688	0.620197	-0.007527	87
3782.549376	332.290802	0.584321	-0.007176	89
3784.599295	332.254669	0.548227	-0.006864	91
3786.644978	332.198944	0.516313	-0.006718	93
3788.691253	332.159637	0.484899	-0.006480	95
3790.741616	332.133453	0.455020	-0.006154	97
3792.786126	332.186340	0.428476	-0.005896	99
3794.841551	332.209442	0.400366	-0.005492	101
3796.380350	51.314640	0.004851	-0.100000	103
3797.940962	152.444839	0.368640	-0.005158	105
3799.989777	152.434998	0.344777	-0.004918	107
3802.047304	152.475464	0.324174	-0.004887	109
3804.102386	152.447983	0.306139	-0.004502	111
3806.131474	152.565369	0.287581	-0.004290	113
3808.190260	152.565140	0.269009	-0.004189	115
3809.692650	242.892471	0.003487	-0.100000	117
3811.217800	332.139435	0.247351	-0.004214	119
