time (s)	magX	magY	magZ
7095.008316	-238.661026	121.421387	-270.527771
7095.012104	-239.187027	121.421387	-272.807159
7095.015414	-239.245468	121.596725	-274.268280
7095.018812	-239.654587	122.122734	-276.722992
7095.022175	-240.005234	122.181183	-278.534790
7095.025496	-240.005234	123.057861	-280.405060
7095.028800	-240.765030	122.765633	-282.567505
7095.032128	-240.998825	123.116310	-285.197540
7095.035470	-241.466385	122.882523	-286.950928
7095.038800	-242.109299	123.350090	-290.048523
7095.042142	-242.109299	123.466980	-292.386353
7095.045506	-242.343063	123.759201	-295.133270
7095.048838	-242.752182	123.700760	-297.997101
7095.052592	-243.278183	123.759201	-300.627136
7095.055924	-243.862656	123.876091	-304.192322
7095.059198	-243.687302	124.168320	-307.056122
7095.062506	-243.921097	124.811218	-310.796631
7095.065790	-244.154861	124.518997	-313.543549
7095.069557	-244.154861	124.518997	-316.641174
7095.072801	-245.206894	124.460548	-320.381683
7095.076097	-245.732895	124.694328	-323.946838
7095.079357	-245.440659	124.460548	-327.219788
7095.082678	-245.615982	124.986557	-331.077148
7095.085952	-246.375778	124.986557	-334.817657
7095.089712	-246.025131	124.694328	-339.025726
7095.092997	-246.375778	124.811218	-342.064880
7095.096253	-246.434250	124.518997	-345.805389
7095.099533	-246.142014	124.518997	-350.364105
7095.103296	-246.609573	123.583870	-354.221527
7095.106568	-246.317368	123.876091	-357.962006
7095.109874	-246.200455	123.642311	-362.637634
7095.113150	-246.609573	123.700760	-366.495026
7095.116487	-246.142014	123.700760	-370.352448
7095.119753	-246.317368	123.583870	-375.261841
7095.123094	-245.791367	123.408531	-379.703705
7095.126819	-245.791367	123.583870	-384.087097
7095.130119	-245.499130	122.531853	-389.288727
7095.133390	-245.908218	122.356514	-393.321472
7095.136669	-244.564011	122.356514	-398.639984
7095.139994	-244.388657	122.707184	-402.789581
7095.143683	-243.979538	121.596725	-407.932800
7095.147016	-243.628860	121.888954	-412.433105
7095.150287	-243.336655	121.304497	-416.699615
7095.153547	-242.869095	120.544716	-420.966095
7095.156857	-242.226181	120.661606	-426.284637
7095.160563	-240.881943	119.434250	-430.375824
